Sum of co2_per_capita,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Tajikistan,2.287,1.809,1.328,0.924,0.415,0.424,0.483,0.362,0.414,0.411,0.359,0.362,0.292,0.317,0.384,0.359,0.384,0.457,0.402,0.332,0.337,0.304,0.372,0.361,0.557,0.627,0.743,0.886,1.001,0.926,0.991
Tanzania,0.084,0.087,0.081,0.087,0.072,0.082,0.083,0.09,0.078,0.075,0.077,0.088,0.099,0.102,0.113,0.139,0.149,0.14,0.141,0.134,0.156,0.17,0.193,0.204,0.198,0.207,0.205,0.209,0.209,0.208,0.183
Thailand,1.554,1.69,1.833,2.073,2.264,2.615,2.889,2.935,2.568,2.648,2.681,2.844,2.978,3.129,3.341,3.409,3.439,3.466,3.41,3.623,3.801,3.756,3.984,4.22,4.13,4.158,4.11,4.132,3.978,3.901,3.693
Timor,,,,,,,,,,,,,0.175,0.17,0.181,0.177,0.177,0.177,0.191,0.212,0.214,0.22,0.259,0.47,0.518,0.502,0.406,0.401,0.402,0.406,0.399
Togo,0.259,0.272,0.261,0.265,0.244,0.278,0.291,0.196,0.278,0.387,0.27,0.229,0.254,0.339,0.319,0.307,0.26,0.256,0.25,0.438,0.404,0.38,0.327,0.236,0.216,0.255,0.307,0.287,0.29,0.285,0.265
Tonga,0.809,1,0.73,0.882,0.957,0.993,0.799,1.024,0.906,1.128,0.972,0.893,1.036,1.177,1.097,1.126,1.261,1.107,1.17,1.27,1.128,0.991,1.034,1.116,1.124,1.2,1.268,1.545,1.349,1.373,1.36
Trinidad and Tobago,13.906,13.805,15.447,14.001,13.624,13.124,16.515,16.319,15.654,17.774,19.091,20.894,22.386,25.126,25.25,29.267,32.562,34.571,33.547,33.477,35.356,34.936,33.875,33.416,34.018,32.928,29.075,28.863,29.122,28.946,25.373
Tunisia,1.592,1.823,1.729,1.859,1.759,1.704,1.789,1.782,1.873,1.885,2.026,2.098,2.083,2.104,2.188,2.203,2.216,2.298,2.336,2.311,2.548,2.376,2.425,2.453,2.521,2.618,2.566,2.557,2.539,2.566,2.38
Turkey,2.81,2.881,2.94,3.018,2.909,3.093,3.358,3.512,3.457,3.336,3.634,3.326,3.392,3.578,3.648,3.891,4.096,4.494,4.393,4.422,4.347,4.622,4.738,4.547,4.683,4.856,5.026,5.243,5.094,4.787,4.657
Turkmenistan,8.514,8.634,8.204,6.861,8.127,8.064,7.138,7.016,7.256,8.42,8.296,8.326,8.653,9.562,9.875,10.144,10.264,11.476,11.481,10.018,11.226,12.018,12.25,12.369,12.446,12.619,12.391,12.198,12.04,12.844,12.491
Turks and Caicos Islands,2.42,2.287,2.418,2.775,2.855,2.936,2.814,3.129,3.216,3.459,3.451,3.396,4.259,4.102,3.841,4.291,4.861,5.427,5.52,5.622,5.61,5.49,5.378,5.38,5.594,5.703,5.913,6.219,6.226,5.993,5.231
Tuvalu,1.234,0.813,0.804,0.797,0.791,1.182,0.786,0.786,1.178,0.392,0.78,1.16,1.146,1.13,1.114,0.733,1.086,1.076,1.066,1.056,1.045,1.034,1.023,1.013,0.668,0.66,0.652,0.645,0.637,0.648,0.642
Uganda,0.044,0.043,0.043,0.042,0.036,0.045,0.048,0.049,0.054,0.055,0.058,0.058,0.058,0.058,0.06,0.073,0.083,0.092,0.091,0.096,0.11,0.114,0.105,0.105,0.111,0.118,0.121,0.13,0.129,0.129,0.107
Ukraine,13.715,12.292,11.457,9.942,8.197,7.659,6.948,6.78,6.605,6.05,5.842,6.272,6.162,6.452,6.573,6.678,7.138,7.254,7.052,6.032,6.422,6.75,6.688,6.564,5.708,4.982,5.233,5.014,5.244,5.059,4.891
United Arab Emirates,28.278,29.256,28.134,30.171,31.645,28.989,28.662,27.365,28.68,26.144,35.668,30.457,24.06,28.454,27.479,24.95,22.969,21.603,21.718,20.903,21.125,21.571,22.047,22.33,21.915,23.382,22.932,17.796,16.011,15.781,15.193
United Kingdom,10.508,10.62,10.321,10.045,9.948,9.78,10.121,9.644,9.701,9.556,9.633,9.748,9.44,9.595,9.569,9.454,9.332,9.1,8.762,7.861,8.062,7.333,7.555,7.346,6.703,6.413,6.023,5.808,5.688,5.464,4.855
United States,20.282,19.871,20.108,20.296,20.435,20.446,20.909,20.928,20.827,20.839,21.336,20.747,20.7,20.744,20.913,20.795,20.324,20.395,19.487,17.885,18.368,17.781,17,17.302,17.331,16.741,16.247,16.02,16.434,15.972,14.238
Upper-middle-income countries,3.71,3.638,3.433,3.439,3.386,3.5,3.554,3.513,3.404,3.354,3.41,3.449,3.588,3.952,4.298,4.588,4.888,5.086,5.349,5.412,5.76,6.162,6.264,6.287,6.305,6.189,6.11,6.178,6.292,6.318,6.22
Uruguay,1.276,1.446,1.63,1.397,1.259,1.413,1.664,1.686,1.713,2.02,1.587,1.513,1.37,1.362,1.675,1.724,1.984,1.785,2.455,2.372,1.875,2.272,2.543,2.21,1.966,1.971,1.904,1.793,1.905,1.902,1.681
Uzbekistan,5.075,4.928,5.192,5.288,4.834,4.505,4.544,4.51,4.93,4.987,4.885,4.882,5.014,4.891,4.798,4.411,4.453,4.378,4.454,3.786,3.624,3.889,3.901,3.657,3.449,3.279,3.44,3.353,3.533,3.462,3.37
Vanuatu,0.45,0.438,0.401,0.39,0.38,0.392,0.491,0.482,0.453,0.465,0.456,0.465,0.435,0.424,0.287,0.28,0.222,0.451,0.424,0.525,0.512,0.544,0.455,0.414,0.583,0.486,0.527,0.488,0.601,0.604,0.591
Venezuela,6.205,5.725,5.136,5.898,6.032,6.059,5.465,5.845,7.162,7.269,6.278,6.978,7.679,7.493,5.819,6.198,5.965,5.502,6.104,6.05,6.473,6.091,6.206,6.965,6.215,5.988,5.677,5.494,4.16,3.478,2.975
Vietnam,0.313,0.308,0.303,0.316,0.355,0.383,0.45,0.577,0.599,0.593,0.658,0.739,0.84,0.924,1.056,1.13,1.166,1.175,1.314,1.417,1.575,1.702,1.587,1.644,1.843,2.082,2.059,2.064,2.342,2.699,2.613
Wallis and Futuna,,,,,,,,,,,,0.988,1.711,1.699,1.699,1.962,2.007,2.075,1.619,2.242,2.311,2.058,2.074,1.78,1.782,1.793,2.12,2.156,2.201,2.312,2.354
World,4.27,4.292,4.104,4.085,4.055,4.083,4.147,4.115,4.045,4.043,4.107,4.09,4.132,4.288,4.43,4.525,4.617,4.696,4.724,4.599,4.793,4.895,4.908,4.893,4.871,4.81,4.75,4.76,4.802,4.758,4.465
Yemen,0.813,0.742,0.762,0.633,0.628,0.694,0.68,0.708,0.733,0.811,0.832,0.894,0.843,0.9,0.954,0.984,1.019,0.974,1.006,1.077,1,0.848,0.746,0.993,0.938,0.483,0.384,0.358,0.35,0.344,0.328
Zambia,0.3,0.289,0.287,0.285,0.27,0.236,0.197,0.245,0.231,0.175,0.171,0.176,0.179,0.184,0.182,0.189,0.183,0.184,0.199,0.222,0.229,0.24,0.288,0.296,0.317,0.321,0.346,0.387,0.422,0.395,0.358
Zimbabwe,1.491,1.451,1.533,1.447,1.544,1.317,1.292,1.194,1.203,1.33,1.163,1.049,0.995,0.885,0.784,0.886,0.853,0.802,0.624,0.437,0.62,0.756,0.601,0.887,0.876,0.885,0.765,0.673,0.821,0.748,0.709
Grand Total,1188.03,1156.189,1136.039,1169.095,1155.775,1141.005,1153.095,1159.246,1089.547,1101.468,1193.346,1208.781,1216.905,1248.568,1266.663,1267.476,1281.678,1298.527,1284.432,1228.148,1233.471,1232.775,1234.721,1207.772,1208.401,1198.059,1179.552,1178.996,1175.716,1187.849,1098.083
