Sum of co2_per_capita,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Greece,8.158,8.085,8.156,8.002,8.12,8.094,8.228,8.602,8.992,8.883,9.294,9.465,9.392,9.724,9.75,10.15,10.055,10.305,10.065,9.522,8.942,8.731,8.481,7.61,7.351,7.032,6.724,7.082,6.824,6.276,5.012
Greenland,11.231,10.93,10.663,9.772,8.881,9.57,10.689,11.054,10.667,10.606,11.882,10.971,10.257,11.458,11.253,11.31,11.625,11.473,11.925,10.452,11.986,12.825,10.243,9.948,9.238,9.291,9.306,9.598,9.688,9.771,9.061
Grenada,1.103,1.14,1.207,1.231,1.438,1.498,1.524,1.659,1.724,1.896,1.853,1.881,1.98,2.079,1.966,2.066,2.2,2.264,2.397,2.39,2.449,2.368,2.523,2.811,2.153,2.374,2.426,2.512,2.762,2.967,2.62
Guadeloupe,3.381,3.541,3.542,3.876,4.146,4.295,4.474,4.452,5.323,5.157,5.035,5.374,5.663,5.811,6.289,5.914,5.814,6.183,6.038,5.868,6.169,6.193,6.143,6.045,6.059,6.172,6.32,6.205,6.147,6.404,6.403
Guatemala,0.537,0.522,0.61,0.561,0.664,0.68,0.617,0.689,0.776,0.773,0.838,0.858,0.878,0.836,0.874,0.925,0.909,0.886,0.778,0.799,0.758,0.752,0.757,0.82,0.866,0.974,1.02,1.022,1.081,1.248,1.057
Guinea,0.158,0.157,0.158,0.158,0.159,0.16,0.165,0.168,0.173,0.178,0.181,0.185,0.189,0.194,0.197,0.2,0.203,0.207,0.205,0.212,0.244,0.249,0.227,0.194,0.194,0.214,0.234,0.268,0.297,0.291,0.258
Guinea-Bissau,0.177,0.176,0.176,0.176,0.172,0.168,0.165,0.178,0.149,0.165,0.122,0.122,0.123,0.151,0.153,0.158,0.157,0.164,0.157,0.158,0.156,0.155,0.153,0.149,0.154,0.16,0.171,0.166,0.166,0.164,0.146
Guyana,1.518,1.486,1.39,1.385,1.922,2.06,2.172,2.383,2.426,2.444,2.34,2.34,2.302,2.493,2.584,2.17,2.023,2.386,2.286,2.553,2.518,2.607,2.595,2.509,2.583,2.61,3.04,2.992,3.185,3.177,2.813
Haiti,0.141,0.136,0.121,0.092,0.024,0.113,0.129,0.168,0.151,0.153,0.193,0.171,0.204,0.191,0.183,0.188,0.188,0.187,0.182,0.193,0.215,0.225,0.221,0.26,0.256,0.249,0.275,0.283,0.303,0.292,0.256
High-income countries,12.229,12.188,12.215,12.261,12.372,12.374,12.67,12.633,12.524,12.603,12.928,12.801,12.824,12.972,13.078,13.02,12.923,12.922,12.555,11.752,12.118,11.856,11.714,11.669,11.502,11.407,11.175,11.073,11.065,10.757,9.776
Honduras,0.488,0.478,0.512,0.523,0.57,0.66,0.65,0.652,0.762,0.721,0.75,0.83,0.847,0.931,0.988,0.916,1.006,1.051,1.057,0.974,0.949,1.03,1.052,1.05,1.04,1.076,1.002,0.939,1.048,1.107,0.975
Hong Kong,4.74,4.907,5.613,5.866,5.18,5.139,4.674,4.841,6.066,6.524,6.098,5.672,5.892,6.424,6.163,6.46,6.162,6.37,6.218,6.005,5.751,6.158,6.065,6.25,6.376,5.899,5.99,5.824,5.798,5.62,4.167
Hungary,7.056,6.722,5.994,6.119,5.965,5.932,6.1,5.978,5.95,6.016,5.711,5.883,5.803,6.09,5.945,5.976,5.931,5.841,5.73,5.168,5.245,5.072,4.74,4.433,4.455,4.767,4.826,5.082,5.09,5.068,4.997
Iceland,8.737,8.175,8.668,9.18,8.919,9.218,9.338,9.602,9.581,10.222,10.456,10.121,10.484,10.366,10.68,10.09,10.519,11.456,12.261,11.794,11.315,10.824,10.738,10.644,10.528,10.708,10.498,10.78,10.88,10.473,8.604
India,0.662,0.691,0.722,0.731,0.758,0.791,0.841,0.859,0.861,0.917,0.926,0.923,0.936,0.953,0.996,1.033,1.081,1.148,1.218,1.324,1.359,1.424,1.551,1.59,1.687,1.732,1.799,1.818,1.922,1.922,1.769
Indonesia,0.828,0.978,1.084,1.152,1.149,1.15,1.276,1.384,1.05,1.169,1.299,1.415,1.43,1.545,1.542,1.542,1.512,1.671,1.556,1.684,1.869,2.059,2.099,1.97,1.956,2.134,2.144,2.173,2.297,2.441,2.155
International transport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iran,3.725,3.918,3.861,3.945,4.354,4.42,4.395,4.23,4.776,5.856,5.625,5.941,5.91,6.072,6.41,6.644,7.138,7.186,7.413,7.666,7.724,7.736,7.979,7.978,8.286,8.009,8.011,8.829,8.645,8.845,8.87
Iraq,2.816,2.526,3.2,3.33,3.638,3.677,3.334,3.175,3.26,3.144,3.052,3.493,3.462,3.54,4.318,4.188,3.569,2.192,3.234,3.554,3.701,4.403,4.792,4.936,4.799,4.657,5.309,5.638,5.498,5.673,5.242
Ireland,9.383,9.573,9.489,9.506,9.764,9.981,10.352,10.628,11.039,11.373,11.961,12.39,11.791,11.478,11.376,11.628,11.252,11.021,10.726,9.385,9.177,8.298,8.299,8.08,7.977,8.316,8.551,8.233,8.134,7.634,6.754
